-1.33	99.99
-387.68	25029.54	
-389.01	25100.89	
-390.33	25172.14	
-391.66	25243.29	
-392.99	25314.34	
-394.32	25385.29	
-395.65	25456.15	
-396.97	25526.91	
-398.30	25597.57	
-399.63	25668.13	
-400.96	25738.59	
-402.28	25808.96	
-403.61	25879.22	
-404.94	25949.39	
-406.27	26019.46	
-407.59	26089.43	
-408.92	26159.31	
-410.25	26229.08	
-411.58	26298.76	
-412.91	26368.34	
-414.23	26437.82	
-415.56	26507.21	
-416.89	26576.49	
-418.22	26645.68	
-419.54	26714.77	
-420.87	26783.76	
-422.20	26852.66	
-423.53	26921.45	
-424.85	26990.15	
-426.18	27058.75	
-427.51	27127.25	
-428.84	27195.65	
-430.16	27263.96	
-431.49	27332.16	
-432.82	27400.27	
-434.15	27468.28	
-435.48	27536.20	
-436.80	27604.01	
-438.13	27671.73	
-439.46	27739.34	
-440.79	27806.86	
-442.11	27874.29	
-443.44	27941.61	
-444.77	28008.84	
-446.10	28075.96	
-447.42	28142.99	
-448.75	28209.92	
-450.08	28276.76	
-451.41	28343.49	
-452.74	28410.13	
-454.06	28476.67	
-455.39	28543.11	
-456.72	28609.45	
-458.05	28675.70	
-459.37	28741.84	
-460.70	28807.89	
-462.03	28873.84	
-463.36	28939.70	
-464.68	29005.45	
-466.01	29071.11	
-467.34	29136.66	
-468.67	29202.12	
-469.99	29267.48	
-471.32	29332.75	
-472.65	29397.91	
-473.98	29462.98	
-475.31	29527.95	
-476.63	29592.82	
-477.96	29657.60	
-479.29	29722.27	
-480.62	29786.85	
-481.94	29851.33	
-483.27	29915.71	
-484.60	29979.99	
-485.93	30044.18	
-487.25	30108.26	
-488.58	30172.25	
-489.91	30236.14	
-491.24	30299.93	
-492.57	30363.63	
-493.89	30427.22	
-495.22	30490.72	
-496.55	30554.12	
-497.88	30617.42	
-499.20	30680.63	
-500.53	30743.73	
-501.86	30806.74	
-503.19	30869.65	
-504.51	30932.46	
-505.84	30995.17	
-507.17	31057.79	
-508.50	31120.31	
-509.82	31182.72	
-511.15	31245.04	
-512.48	31307.27	
-513.81	31369.39	
-515.14	31431.42	
-516.46	31493.35	
-517.79	31555.18	
-519.12	31616.91	
-520.45	31678.54	
-521.77	31740.08	
-523.10	31801.52	
-524.43	31862.86	
-525.76	31924.10	
-527.08	31985.24	
-528.41	32046.29	
-529.74	32107.24	
-531.07	32168.09	
-532.40	32228.84	
-533.72	32289.49	
-535.05	32350.04	
-536.38	32410.50	
-537.71	32470.86	
-539.03	32531.12	
-540.36	32591.28	
-541.69	32651.35	
-543.02	32711.31	
-544.35	32771.18	
-545.67	32830.95	
-547.00	32890.63	
-548.33	32950.20	
-549.66	33009.68	
-550.98	33069.05	
-552.31	33128.34	
-553.64	33187.52	
-554.97	33246.60	
-556.29	33305.59	
-557.62	33364.47	
-558.95	33423.26	
-560.28	33481.95	
-561.61	33540.55	
-562.93	33599.04	
-564.26	33657.44	
-565.59	33715.74	
-566.92	33773.94	
-568.24	33832.04	
-569.57	33890.04	
-570.90	33947.95	
-572.23	34005.76	
-573.55	34063.47	
-574.88	34121.08	
-576.21	34178.60	
-577.54	34236.01	
-578.87	34293.33	
-580.19	34350.55	
-581.52	34407.67	
-582.85	34464.69	
-584.18	34521.62	
-585.50	34578.45	
-586.83	34635.18	
-588.16	34691.81	
-589.49	34748.34	
-590.81	34804.77	
-592.14	34861.11	
-593.47	34917.35	
-594.80	34973.49	
-596.13	35029.53	
-597.45	35085.48	
-598.78	35141.32	
-600.11	35197.07	
-601.44	35252.72	
-602.76	35308.27	
-604.09	35363.73	
-605.42	35419.08	
-606.75	35474.34	
-608.07	35529.50	
-609.40	35584.56	
-610.73	35639.53	
-612.06	35694.39	
-613.39	35749.16	
-614.71	35803.83	
-616.04	35858.40	
-617.37	35912.87	
-618.70	35967.25	
-620.02	36021.52	
-621.35	36075.70	
-622.68	36129.79	
-624.01	36183.77	
-625.33	36237.65	
-626.66	36291.44	
-627.99	36345.13	
-629.32	36398.71	
-630.65	36452.21	
-631.97	36505.60	
-633.30	36558.90	
-634.63	36612.10	
-635.96	36665.20	
-637.28	36718.20	
-638.61	36771.10	
-639.94	36823.90	
-641.27	36876.61	
-642.59	36929.22	
-643.92	36981.73	
-645.25	37034.14	
-646.58	37086.46	
-647.91	37138.68	
-649.23	37190.79	
-650.56	37242.81	
-651.89	37294.73	
-653.22	37346.56	
-654.54	37398.29	
-655.87	37449.91	
-657.20	37501.45	
-658.53	37552.88	
-659.85	37604.21	
-661.18	37655.45	
-662.51	37706.58	
-663.84	37757.62	
-665.17	37808.56	
-666.49	37859.41	
-667.82	37910.15	
-669.15	37960.80	
-670.48	38011.35	
-671.80	38061.80	
-673.13	38112.15	
-674.46	38162.41	
-675.79	38212.56	
-677.11	38262.62	
-678.44	38312.58	
-679.77	38362.45	
-681.10	38412.21	
-682.43	38461.88	
-683.75	38511.45	
-685.08	38560.91	
-686.41	38610.29	
-687.74	38659.56	
-689.06	38708.73	
-690.39	38757.81	
-691.72	38806.79	
-693.05	38855.68	
-694.37	38904.46	
-695.70	38953.14	
-697.03	39001.73	
-698.36	39050.22	
-699.69	39098.61	
-701.01	39146.90	
-702.34	39195.10	
-703.67	39243.20	
-705.00	39291.20	
-706.32	39339.09	
-707.65	39386.89	
-708.98	39434.60	
