-20026.31	9789.09	
-20111.16	9818.95	
-20196.02	9848.70	
-20280.88	9878.36	
-20365.74	9907.92	
-20450.59	9937.38	
-20535.45	9966.75	
-20620.31	9996.01	
-20705.17	10025.18	
-20790.02	10054.25	
-20874.88	10083.22	
-20959.74	10112.10	
-21044.60	10140.87	
-21129.45	10169.55	
-21214.31	10198.13	
-21299.17	10226.61	
-21384.03	10255.00	
-21468.88	10283.28	
-21553.74	10311.47	
-21638.60	10339.56	
-21723.46	10367.55	
-21808.31	10395.44	
-21893.17	10423.23	
-21978.03	10450.93	
-22062.88	10478.53	
-22147.74	10506.03	
-22232.60	10533.43	
-22317.46	10560.74	
-22402.31	10587.94	
-22487.17	10615.05	
-22572.03	10642.06	
-22656.89	10668.97	
-22741.74	10695.78	
-22826.60	10722.50	
-22911.46	10749.12	
-22996.32	10775.64	
-23081.17	10802.06	
-23166.03	10828.38	
-23250.89	10854.61	
-23335.75	10880.73	
-23420.60	10906.76	
-23505.46	10932.69	
-23590.32	10958.52	
-23675.18	10984.26	
-23760.03	11009.90	
-23844.89	11035.43	
-23929.75	11060.87	
-24014.61	11086.22	
-24099.46	11111.46	
-24184.32	11136.61	
-24269.18	11161.65	
-24354.04	11186.60	
-24438.89	11211.45	
-24523.75	11236.21	
-24608.61	11260.86	
-24693.46	11285.42	
-24778.32	11309.88	
-24863.18	11334.24	
-24948.04	11358.50	
-25032.89	11382.67	
-25117.75	11406.74	
-25202.61	11430.70	
-25287.47	11454.57	
-25372.32	11478.35	
-25457.18	11502.02	
-25542.04	11525.60	
-25626.90	11549.08	
-25711.75	11572.46	
-25796.61	11595.74	
-25881.47	11618.92	
-25966.33	11642.01	
-26051.18	11665.00	
-26136.04	11687.88	
-26220.90	11710.68	
-26305.76	11733.37	
-26390.61	11755.96	
-26475.47	11778.46	
-26560.33	11800.86	
-26645.19	11823.16	
-26730.04	11845.37	
-26814.90	11867.47	
-26899.76	11889.48	
-26984.62	11911.38	
-27069.47	11933.20	
-27154.33	11954.91	
-27239.19	11976.52	
-27324.04	11998.04	
-27408.90	12019.46	
-27493.76	12040.78	
-27578.62	12062.00	
-27663.47	12083.12	
-27748.33	12104.15	
-27833.19	12125.08	
-27918.05	12145.90	
-28002.90	12166.64	
-28087.76	12187.27	
-28172.62	12207.80	
-28257.48	12228.24	
